Steve Wirtel,Inc	steve-wirtel-inc
independent Freelancer	independent-freelancer
Talentum,new media section	talentum-new-media-section
Fractal Sciences Inc.	fractal-sciences
Interpublic Group of Companies(NYSE:IPG)	interpublic-group-of-companies-nyse-ipg
EDITEC	editec
BAM cases	bam-cases
Gorilla Exchange, Inc.	gorilla-exchange-inc
RKS Management Consulting Co.	rks-management-consulting-co
QuickFlicks.com & StreamExchange.com, Inc.	quickflicks-com-streamexchange-com-inc
sinomed	sinomed
Sperry Van Ness	sperry-van-ness
Aramark Uniform Services	aramark-uniform-services
Eastbay Sports	eastbay-sports
Blue Lake Communication Oy	blue-lake-communication-oy
Aina Group Oyj	aina-group-oyj
EZ Tech Parts	ez-tech-parts
Devices for Vascular Intervention, Guidant	devices-for-vascular-intervention-guidant
FeelNYC	feelnyc
Ventrica	ventrica
Artemis Medical	artemis-medical
Metro Readio Group	metro-readio-group
Morgans Hotel Group	morgans-hotel-group
Promedica International	promedica-international
Optical Radiation Corporation	optical-radiation-corporation
Abbott Medical Optics	abbott-medical-optics
Abott Medical Optics	abott-medical-optics
TAP Biosystems	tap-biosystems
Cava Interactive	cava-interactive
MVM Infotech	mvm-infotech
Business Link Hertfordshine	business-link-hertfordshine
Mouth2Mouth	mouth2mouth
Genetic MicroSystems	genetic-microsystems
Signdat	signdat
Amkette	amkette
Web Prospects	web-prospects
Ciphergen Biosystems	ciphergen-biosystems
Pizink	pizink
windham hill consulting	windham-hill-consulting
WNS golbal services	wns-golbal-services
RESGlobal Solution	resglobal-solution
Security First Federal Saving and Loan	security-first-federal-saving-and-loan
Service Source	service-source
zCloudCommerce	zcloudcommerce
Fashion Days International	fashion-days-international
Lagosinfocus	lagosinfocus
Cardica	cardica
Tipbit	tipbit
Naval Undersea Warfare Center	naval-undersea-warfare-center
TRW’s Space and Defense	trws-space-and-defense
Ligatus	ligatus
Tullis Health Invest/Tullis Dickerson	tullis-health-invest-tullis-dickerson
The Peristat Group	the-peristat-group
Sinskey Eye Institute, Santa Monica	sinskey-eye-institute-santa-monica
USC, Doheny Eye Institute	usc-doheny-eye-institute
Alfamedic, Inc.	alfamedic-inc
Axion Health	axion-health
BCB Strategy Consulting	bcb-strategy-consulting
Perclose, Inc	perclose-inc
Accentia Biopharmaceuticals Inc	accentia-biopharmaceuticals-inc
CellExSys, Inc	cellexsys-inc
cityguru	cityguru
Vector Securities International	vector-securities-international
Norsea 27 Forum	norsea-27-forum
Nellcor Puritan Bennett	nellcor-puritan-bennett
OMRON Scientific Technologies, Inc.	omron-scientific-technologies-inc
Zofcom Incorporated	zofcom-incorporated
Neotropix	neotropix
Altus Pharmaceuticals	altus-pharmaceuticals
Quantic Communications	quantic-communications
Pierce Biotechnology	pierce-biotechnology
Endogen	endogen
OmniGene	omnigene
DvineWave	dvinewave
Sentropi	sentropi
Continuus Pharmaceuticals	continuus-pharmaceuticals
FeelMiami	feel-miami
Kintana	kintana
Graphenix Development	graphenix-development
Ironside	ironside
The Rockefeller University	the-rockefeller-university
Global Lab Services	global-lab-services
F. Hoffmann-La Roche, Ltd.	f-hoffmann-la-roche-ltd
FeelParis	feel-paris
Alcan Aluminum	alcan-aluminum
Outsourced Development	outsourced-development
Perfusix	perfusix
Insilicon	insilicon
ESI	esi
Core Design	core-design
Circle Studio	circle-studio
MedAssets	medassets
Gill Balsano Consulting	gill-balsano-consulting
Orlando Health	orlando-health
Rich Rella Consulting	rich-rella-consulting
Suros Surgical Systems	suros-surgical-systems
Pictorial	pictorial
Shepard Poorman	shepard-poorman
SAYS.com	says-com
Youth Asia	youth-asia
MindValley	mindvalley
GrowBiz Services Inc	growbiz-services-inc
HeyAnita Inc	heyanita-inc
Sententia,LLC	sententia-llc
Frequent Travel Marketing Association	frequent-travel-marketing-association
RetrievelT	retrievelt
Harvard Community Health Plan	harvard-community-health-plan
First World Mortgage	first-world-mortgage
Jolt Online Gaming	jolt-online-gaming
4Charity	4charity
Washington Mutual	washington-mutual
Countrywide Home Loans, Inc	countrywide-home-loans-inc
S.E. Rykoff	s-e-rykoff
mBlox Americas	mblox-americas
ClearSky Mobile Media	clearsky-mobile-media
Tornado Development	tornado-development
Radisphere	radisphere
Savant Technologies	savant-technologies
Friendsquare Inc.	friendsquare-inc
FreeFI	freefi
Payer Solution	payer-solution
ApplicationsOnline	applicationsonline
Hoover's - a D&B Company	hoovers-a-d-b-company
Affiliated Physical Group	affiliated-physical-group
New England Deaconess Hospital	new-england-deaconess-hospital
noesis inc.	noesis-inc
RulesPower	rulespower
Xevo	xevo
SIELAY	sielay
Western Wireless	western-wireless
Contemporary VA	contemporary-va
Toughclutch	toughclutch
Church Street Consulting	church-street-consulting
Cefalicchio Country House	cefalicchio-country-house
Avantime Group	avantime-group
Servier	servier
Bike & Build	bike-build
First Tennessee Bank	first-tennessee-bank
Premji Valji Jewellers	premji-valji-jewellers
Ghanablabla	ghanablabla
StreamIn	streamin
Lumina Office Products	lumina-office-products
CRMBOOST	crmboost
University of Pittsburgh	university-of-pittsburgh
Angels Network	angels-network
Enigma Visual Solutions Ltd	enigma-visual-solutions-ltd
nLighten	nlighten
FrendLi	frendli
n-Mailer	n-mailer
Chroma ATE, Inc.	chroma-ate-inc
Urban Torque®	urban-torque
Propa Talent, Inc	propa-talent-inc
DynaColor Inc.	dynacolor-inc
TEDxBU	tedxbu
Home Sweet Home	home-sweet-home
NorthWestNet	northwestnet
Interglobe Networks	interglobe-networks
FitNow	fitnow
Ilich Family Foundation	ilich-family-foundation
Sindana	sindana
Awaken	awaken
Ricochet Management	ricochet-management
Creation Management and Poptones Records	creation-management-and-poptones-records
Royalrevenue	royalrevenue
CacheLogic / velocix (acquired by Alcatel Lucent)	cachelogic-velocix-acquired-by-alcatel-lucent
Digital Island / Exodus / Cable and Wireless	digital-island-exodus-cable-and-wireless
Skint / Loaded Records	skint-loaded-records
California Alumni Association	california-alumni-association
Donna Mobile	donna-mobile
Telemax	telemax
AVL	avl
Gogo Charters	gogo-charters
FlipNet	flipnet
Bizsmart Solutions India Pvt Ltd	bizsmart-solutions-india-pvt-ltd
DIVA Systems Corporation	diva-systems-corporation
Terayon	terayon
Scenario4	scenario4
Waveline Media	waveline-media
Tabsys	tabsys
Alto Law Group	alto-law-group
Stoel Rives LLP.	stoel-rives-llp
Lunatech Partners	lunatech-partners
Neuvis	neuvis
World Health Organization	world-health-organization
Adjusoft AB	adjusoft-ab
Adjusoft	adjusoft
Cahoots / Informative	cahoots-informative
Catapult, Man Bites Dog, Zoom Marketing	catapult-man-bites-dog-zoom-marketing
Momenta Inc.	momenta-inc
Weitek	weitek
Rubberduck Media Lab Inc	rubberduck-media-lab-inc
Denali Trading LLC	denali-trading-llc
Filmwerks Digital LLC	filmwerks-digital-llc
RankPop	rankpop
Filanet	filanet
Aspiro TV	aspiro-tv
StarTV	startv
Kerry-Edwards 2004, Inc.	kerry-edwards-2004-inc
Beijing Ultrasonic	beijing-ultrasonic
@Home Network	home-network
Be-Cause	be-cause
McDonald's Ventures	mcdonalds-ventures
Nicecom	nicecom
Dolphin Data Lab	dolphin-data-lab
Future Thought Productions	future-thought-productions
clubgreetings.com	clubgreetings-com
Various Internet Companies	various-internet-companies
Future Thought Technology Private Limited	future-thought-technology-private-limited
Office of the CIO for Washington State	office-of-the-cio-for-washington-state
Auxin Partners, LLC	auxin-partners-llc
Sansar Technology Solutions	sansar-technology-solutions
Enlace DG	enlace-dg
PlayMesh, Inc.	playmesh-inc
Kiva Software	kiva-software
USA Cycling	usa-cycling
DuPont Fabros Technology	dupont-fabros-technology
Webmonsters	webmonsters
Open Networking Foundation	open-networking-foundation
Songduel	songduel
Frontier Global Center	frontier-global-center
MFS Communications	mfs-communications
MyAppBuilder.com	myappbuilder-com
Gamma Soft	gamma-soft
Engineering Animation, Inc.	engineering-animation-inc
Sense8 Incorporated	sense8-incorporated
PMB Engineering	pmb-engineering
Dominion Express	dominion-express
Nolnk Communication	nolnk-communication
Port -to-Port Consulting	port-to-port-consulting
Hawkswatch Holdings LLC.	hawkswatch-holdings-llc
Cummins Electronics	cummins-electronics
Harlan Laboratories,Inc.	harlan-laboratories-inc
Compaq's Enterprise Solutions	compaqs-enterprise-solutions
Sqwiggle	sqwiggle
GE Information Services	ge-information-services
Astoria Networks	astoria-networks
Phobos Corporation	phobos-corporation
Helius Corporation	helius-corporation
Complete PC	complete-pc
Xerox Imaging System/Datacopy	xerox-imaging-system-datacopy
Unface.me	unface-me
The BearFund	the-bearfund
Fairphone	fairphone
Ball State Center of Entrepreneurship	ball-state-center-of-entrepreneurship
Authorhouse	authorhouse
Mezzia,Inc.	mezzia-inc
Guinness	guinness
Nature's Bakery	natures-bakery
Freight Specialist	freight-specialist
Air Duct Cleaning Agoura Hills California	air-duct-cleaning-agoura-hills-california
That Man May See Foundation - UCSF	that-man-may-see-foundation-ucsf
Go Daddy Group	go-daddy-group
Riggs Capital Partners	riggs-capital-partners
The City of Cincinnati	the-city-of-cincinnati
Ohio Air National Guard	ohio-air-national-guard
Up4Sale.com	up4sale-com
Eballoony	eballoony
Tyner Pond Farm	tyner-pond-farm
R.R.Donnelley	r-r-donnelley
Abott Diagnostics	abott-diagnostics
Volatus Advisors	volatus-advisors
Corepoint Technologies	corepoint-technologies
Manual High School	manual-high-school
Colorado Athletic Club	colorado-athletic-club
Colorado Fusion	colorado-fusion
YMCA of Metropolitan Denver	ymca-of-metropolitan-denver
Lasting Vow	lasting-vow
Madisono's Gelato and Sorbet	madisonos-gelato-and-sorbet
The Summit Country Day School	the-summit-country-day-school
Entek IRD	entek-ird
Coltec Industries	coltec-industries
iQ Media Corp	iq-media-corp
Eureka! Ranch	eureka-ranch
Atlanta Committee for The Olympic Games	atlanta-committee-for-the-olympic-games
lasersharp	lasersharp
Cutting Edge Optronics	cutting-edge-optronics
McDonnell Douglas	mcdonnell-douglas
SpecTran	spectran
CommonKey	commonkey
Wavesmith Networks	wavesmith-networks
New Oak Communications	new-oak-communications
FTP Software	ftp-software
Lot Network	lot-network
Financila Tips in UK	financila-tips-in-uk
FiveStreet	fivestreet
EM4	em4
MicroOptical	microoptical
Confluent Photonics	confluent-photonics
Lightchip Inc	lightchip-inc
Shape Global Technology	shape-global-technology
Exabyte	exabyte
R-Byte	r-byte
Laserdrive	laserdrive
Entrepo	entrepo
Data Products	data-products
BizReach	bizreach
Cotap	cotap
Dreams Cash True	dreams-cash-true
One17Media	one17media
The Loop	the-loop
Printerpix	printerpix
Bounce Networks	bounce-networks
Frequency Group	frequency-group
Frequency Capital	frequency-capital
WebWatcher	webwatcher
WaterKeeper Alliance	waterkeeper-alliance
Hudson RiverKeeper	hudson-riverkeeper
National Resources Defence Council	national-resources-defence-council
UBC Research Enterprises	ubc-research-enterprises
City Lunch Club	city-lunch-club
Brentwod Pool & Spa, Inc.	brentwod-pool-spa-inc
MicroProse	microprose
Spectrum HoloByte	spectrum-holobyte
Tourjive	tourjive
Hotspot Wireless Devices	hotspot-wireless-devices
Array Associates	array-associates
Diggiworls	diggiworls
Sophelle	sophelle
Alert Pest Control Services	alert-pest-control-services
R2D Studio	r2d-studio
PlaceUnit	placeunit
RAZOR Magazine	razor-magazine
Dwibit.com	dwibit-com
Scalable Systems Research Labs	scalable-systems-research-labs
Excel College	excel-college
Markett	markett
White Cheetah	white-cheetah
Infocom	infocom
Dr. Phillips Center for the Performing Arts	dr-phillips-center-for-the-performing-arts
Unifysquare	unifysquare
bCandid	bcandid
Sedia Biosciences	sedia-biosciences
Precision Biologics	precision-biologics
PanTrek	pantrek
Benson Hill Biosystems	benson-hill-biosystems
6hourdrivingcoursetexas	6hourdrivingcoursetexas
Cloudvu	cloudvu
Language Engineering Corporation	language-engineering-corporation
BBN	bbn
Rotech Healthcare	rotech-healthcare
Nephron Pharmaceuticals	nephron-pharmaceuticals
CapRock Communications	caprock-communications-2
Highwinds Software	highwinds-software
One Realm	one-realm
UnixOps - Information Technology Services, University of Colorado	unixops-information-technology-services-university-of-colorado
Maritime Telecommunication Network, Inc.	maritime-telecommunication-network-inc
Crescomm	crescomm
BLR Capital Management	blr-capital-management
Indigo Investment Systems	indigo-investment-systems
MTN Satellite Communications	mtn-satellite-communications
Cleveland Cavaliers	cleveland-cavaliers
Tremco	tremco
Coalescent Technologies	coalescent-technologies
V-ONE Corporation	v-one-corporation
Video Palomitas	video-palomitas
NeuThinking Research	neuthinking-research
IIT Research Institute	iit-research-institute
Litton PRC	litton-prc
Sherikon, Inc.	sherikon-inc
Peace Hill Press	peace-hill-press
Xerocole, Inc.	xerocole-inc
Oresis Communications	oresis-communications
GeneriCo	generico
Connextions, Inc.	connextions-inc
MCI Telecommunications	mci-telecommunications
COMSAT Corporation	comsat-corporation
Atlantix Global Systems	atlantix-global-systems
Maritime Telecommunications Network	maritime-telecommunications-network
Costa Cruises	costa-cruises
Norwegian Cruise Line	norwegian-cruise-line
Leventhal & Slaughter, PA	leventhal-slaughter-pa
Royal Caribbean Cruise Line	royal-caribbean-cruise-line
Holland America Line	holland-america-line
PerformanceCentre	performancecentre
TSYS Prepaid	tsys-prepaid
Bioreclamation Holdings	bioreclamation-holdings
Wiselist	wiselist
La Doma	la-doma
Iñigo Jerez	iigo-jerez
Extraestudio	extraestudio
Unit.co	unit-co
The Cocktail - Madrid	the-cocktail-madrid
DoubleYou - Barcelona	doubleyou-barcelona
Wire Mesh Fencing for All Your Fence Needs	wire-mesh-fencing-for-all-your-fence-needs
Publicis Net - Paris	publicis-net-paris
Tabula Rasa	tabula-rasa
Run design	run-design
Projecte Genomport - Universitat Politècnica de Catalunya	projecte-genomport-universitat-politcnica-de-catalunya
codekünstler.com	codeknstler-com
Santi Grau Letras y Ornamentos SL	santi-grau-letras-y-ornamentos-sl
Cla-se / Claret Serrahima	cla-se-claret-serrahima
santi grau - letras y ornamentos	santi-grau-letras-y-ornamentos
Gira Visual	gira-visual
Summa	summa
Aaxion Corporation	aaxion-corporation
Mitel	mitel
Imperas	imperas
Iceotope Limited	iceotope-limited
Control Risks	control-risks
See The Difference	see-the-difference
CKS	cks
The Conservative Middle East Council	the-conservative-middle-east-council
King's College London	kings-college-london
I.B.Tauris	i-b-tauris
Luxembourg Ministry of Foreign Affairs	luxembourg-ministry-of-foreign-affairs
World Food Programme	world-food-programme
ENDA Tiers-Monde	enda-tiers-monde
Reuters Pension Fund	reuters-pension-fund
SmithBayes	smithbayes
FilmOn TV Networks	filmon-tv-networks
Boltnet	boltnet
Media Startups	media-startups
bigCDN.com	bigcdn-com
Amp’d Mobile	ampd-mobile-3
Big Brothers of Los Angeles	big-brothers-of-los-angeles
Bizworld.org	bizworld-org
Melba	melba
Yoga Labs / Yoga Spotting	yoga-labs-yoga-spotting
Healthcare Communication Startup	healthcare-communication-startup
SweepstakesHub.com	sweepstakeshub-com
Independent Lake Camp	independent-lake-camp
Learning Innovations Laboratory	learning-innovations-laboratory
SoftSplit	softsplit
Unimed Pharmaceuticals	unimed-pharmaceuticals
Solvay Fluorides	solvay-fluorides
Solkatronic Chemicals	solkatronic-chemicals
Hybrid Mindset	hybrid-mindset
Revelation Designz	revelation-designz
Fort Dodge Animal HEalth	fort-dodge-animal-health
Axcan	axcan
Scebert Pharmaceutical	scebert-pharmaceutical
Transmedia Storyteller Ltd.	transmedia-storyteller-ltd
Crelligence Media	crelligence-media
Avatarlabs	avatarlabs
Brooklyn Games	brooklyn-games
BackFlip	backflip
Adolfson & Peterson Construction	adolfson-peterson-construction
Minnesota United Methodist Foundation	minnesota-united-methodist-foundation
Washburn Center for Children	washburn-center-for-children
Duininck M	duininck-m
Zenon Environmental	zenon-environmental
MPR Studio Creative Solutions	mpr-studio-creative-solutions
Auxilium Pharmaceuticals	auxilium-pharmaceuticals-inc
Prestwick Pharmaceuticals, Inc.	prestwick-pharmaceuticals-inc
PaperDrop Imaging	paperdrop-imaging
EPiServer AB	episerver-ab
Digimaker	digimaker
DPS Technologies	dps-technologies
Caltiger	caltiger
Motorola LMPS	motorola-lmps
Remington Associates	remington-associates
TerraGlyph Interactive	terraglyph-interactive
Ebbon Dacs India Pvt. Ltd.	ebbon-dacs-india-pvt-ltd
XP Software Solutions	xp-software-solutions
Netgalactic	netgalactic
The Goins Group, LLC	the-goins-group-llc
EOS Climate	eos-climate
Merck Pharmaceuticals	merck-pharmaceuticals
Torre Lazur West	torre-lazur-west
Truth-In-Beauty	truth-in-beauty
Testopel	testopel
George Washington University	george-washington-university
Meditrina Pharmaceuticals, Inc	meditrina-pharmaceuticals-inc
Access Info Solutions India Pvt. Ltd.	access-info-solutions-india-pvt-ltd
Compunnel Software India Pvt. Ltd.	compunnel-software-india-pvt-ltd
Slate Pharmaceuticals	slate-pharmaceuticals
Verestar Inc.	verestar-inc
MediaCenters	mediacenters
Nucleus Software Workshop Pvt. Ltd.	nucleus-software-workshop-pvt-ltd
ADC Kentrox	adc-kentrox
Ray Bourhis Associates	ray-bourhis-associates
Slate Pharmaceuticls	slate-pharmaceuticls
Pruden Enterprises, Inc.	pruden-enterprises-inc
PharmaDirections	pharmadirections
Ben Venue Laboratories	ben-venue-laboratories
LyphoMed	lyphomed
Exhaust and Mechanical Upgrades Autoworks	exhaust-and-mechanical-upgrades-autoworks
Amtify	amtify
PharmaLinkFHI	pharmalinkfhi
POZEN, Inc.	pozen-inc
Prevent Blindness, Georgia	prevent-blindness-georgia
DigitalScreenMedia	digitalscreenmedia
AmkaiSolutions, LLC	amkaisolutions-llc
T+T Holdings, LLC	t-t-holdings-llc
Deutsche Bank Securities	deutsche-bank-securities
Timberline Investments	timberline-investments
BE&K	be-k
Charter Business Network	charter-business-network
Slate until	slate-until
Searle Europe	searle-europe
Searle worldwide management team	searle-worldwide-management-team
United Kingdom operations.	united-kingdom-operations
pharmaceutical industry	pharmaceutical-industry
Hoar Construction LLC	hoar-construction-llc
Boult Cummings’ Construction	boult-cummings-construction
Procurement Group	procurement-group
firm’s Executive Committee.	firms-executive-committee
firm’s International Practice Group	firms-international-practice-group
Accelarad, creators of SeeMyRadiology.com	accelarad-creators-of-seemyradiology-com
ProCom Consulting LLC.	procom-consulting-llc
Alogent	alogent
G.D. Searle Company	g-d-searle-company
Beetel Bite	beetel-bite
Rosenfeld Media	rosenfeld-media
Independen	independen
Arrowhawk Capital Partners	arrowhawk-capital-partners
Golden Pond Healthcare, Inc.	golden-pond-healthcare-inc
private healthcare companies	private-healthcare-companies
Seventh Wave Technology	seventh-wave-technology
Searle Pharmaceuticals	searle-pharmaceuticals
Monsanto Agriculture co.	monsanto-agriculture-co
Fisher controls company of canada	fisher-controls-company-of-canada
KADMOS Capital	kadmos-capital
Warner-Lambert Company	warner-lambert-company
global Pharmaceutical Sector	global-pharmaceutical-sector
Pharmaceutical R&D	pharmaceutical-r-d
Biopharmaceticular Development	biopharmaceticular-development
Astrazeneca & Mallincrodt Medical	astrazeneca-mallincrodt-medical
NCR - Compris	ncr-compris
APP Pharamaceuticals	app-pharamaceuticals
Stanford US-Russia Forum	stanford-us-russia-forum
U.S. Business Development and Licensing	u-s-business-development-and-licensing
Life cycle Managment	life-cycle-managment
Generics-Brands Strategies.	generics-brands-strategies
Eldertech Solutions	eldertech-solutions
Vision Financial Markets	vision-financial-markets
HomeCrunch	homecrunch
San Francisco Museum of Modern Art	san-francisco-museum-of-modern-art
Lori Bonn	lori-bonn
Adrenaline Hunter	adrenaline-hunter
Arterial Vascular Engineering	arterial-vascular-engineering
Eaton Vance Investment Counsel	eaton-vance-investment-counsel
Eaton and Howard Inc	eaton-and-howard-inc
Loomis Sayles & Company	loomis-sayles-company
Scudder Private Investment Counsel	scudder-private-investment-counsel
PayFlex Systems, USA	payflex-systems-usa
Life Tissue Connect	life-tissue-connect
Inamed	inamed
Harris Lanier	harris-lanier
JBL Professional	jbl-professional
AVE/ Medtronic Vascular	ave-medtronic-vascular
ACS/ Guidant	acs-guidant
Cilys	cilys
Deuteron Acquisition	deuteron-acquisition
The BE Group	the-be-group
Hexacto	hexacto
Cossette Interactive	cossette-interactive
Capability Snapshot Inc	capability-snapshot-inc
GlobalServe Communications Inc.	globalserve-communications-inc
uunet Canada	uunet-canada
WakaWaka Foundation	wakawaka-foundation
MauritsGroen*MGMC	mauritsgroen-mgmc
City of Amsterdam	city-of-amsterdam
Taskforce Energy Transition	taskforce-energy-transition
Vereniging Milieudefensie	vereniging-milieudefensie
The Editure Group / JBHM Education	the-editure-group-jbhm-education
CrowdMind	crowdmind
Accenture LLP	accenture-llp
Advanced Recognition Technologies	advanced-recognition-technologies
GenMark Diagnostic	genmark-diagnostic
The Active Network	the-active-network
Thermolase	thermolase
TLC Eyecare & Laser Center, Michigan	tlc-eyecare-laser-center-michigan
Blake Woods Medical Park Surgery Center	blake-woods-medical-park-surgery-center
Kresge Eye Institute	kresge-eye-institute
Orbis International	orbis-international
Jackson County Community Foundation	jackson-county-community-foundation
Jackson Fitness Council	jackson-fitness-council
SunGard Business Integration	sungard-business-integration
Insider Online	insider-online
Philips Applied Technologies	philips-applied-technologies
Van Kleef Media	van-kleef-media
Kluwer	kluwer
Samsom Uitgeverij	samsom-uitgeverij
Atari Group	atari-group
S.G. Warburg	s-g-warburg
SBC Warburg	sbc-warburg
Thomson multimedia	thomson-multimedia
Harcourt	harcourt
Sonaecom	sonaecom
Quadrature	quadrature
Amplitude Consulting	amplitude-consulting
Alexandra Fichelson	alexandra-fichelson
Best VPN Service	best-vpn-service
USC Marshall School of Business	usc-marshall-school-of-business
Long Beach TEC	long-beach-tec
Medmark	medmark
Great Night Out	great-night-out
Recept Technologies	recept-technologies
Tioga Technologies	tioga-technologies
Kidum	kidum
Rivington Design House	rivington-design-house
Joseph Mori	joseph-mori
Thackray Enterprises	thackray-enterprises
Joseph A. Gemmo, CPA	joseph-a-gemmo-cpa
AFCO Systems	afco-systems
Technology Flavors & Fragrances, Inc.	technology-flavors-fragrances-inc
Ernst & Young f/k/a Arthur Young & Co.	ernst-young-f-k-a-arthur-young-co
Ketal Biomedical, Inc	ketal-biomedical-inc
Georgia Bioscience Commercialization Center	georgia-bioscience-commercialization-center
Metro Atlanta Chamber's Vaccine Subcommittee	metro-atlanta-chambers-vaccine-subcommittee
Lodgian, Inc	lodgian-inc
Sarbanes-Oxley	sarbanes-oxley
UCB Pharmaceuticals	ucb-pharmaceuticals
Scandipharm	scandipharm
Axcan Pharmaceuticals	axcan-pharmaceuticals
Sciele (Shionogi) Pharmaceuticals	sciele-shionogi-pharmaceuticals
Reid-Provident Labs	reid-provident-labs
Shionogi Pharma, Inc	shionogi-pharma-inc
Hunton & Williams LLP	hunton-williams-llp
Goldstein, Frazer & Murphy LLP	goldstein-frazer-murphy-llp
Carlock	carlock
Copeland and Stair, LLP	copeland-and-stair-llp
Messier Partners	messier-partners
G. Pohl-Boskamp GmbH & Co.KG	g-pohl-boskamp-gmbh-co-kg
Circa Pharmaceuticals, Inc	circa-pharmaceuticals-inc
HBOC	hboc
Fertile Medium	fertile-medium
EGlobal  Sports Network,Inc.	eglobal-sports-network-inc
New Earth Technologies	new-earth-technologies
Arrow Financial Corporation	arrow-financial-corporation
Alliance Healthcard Inc.	alliance-healthcard-inc
Klarna AB	klarna-ab
Webloyalty France	webloyalty-france
D Interactive	d-interactive
Doubletrade.com	doubletrade-com
Buckman Consulting	buckman-consulting
ChrisRann Jewelery	chrisrann-jewelery
JPG Magazine	jpg-magazine
ReadyMade Magazine	readymade-magazine
zanox AG	zanox-ag
One Direct	one-direct
NETnet	netnet
Energy Sector Study	energy-sector-study
Clean Energy Technology Research and Development	clean-energy-technology-research-and-development
limbolower	limbolower
Liquid Market	liquid-market
Flash Communications	flash-communications
Banque Paribas	banque-paribas
Sanwa Bank	sanwa-bank
826 Valencia	826-valencia
ATTIK	attik
Vivanista	vivanista
France Telecom Mobile Satellite Communications	france-telecom-mobile-satellite-communications
Mitsui & CO., Ltd.	mitsui-co-ltd
McCaw Cellular Communications	mccaw-cellular-communications
Current TV	current-tv
Fireflies	fireflies
Sonoma West Times and News	sonoma-west-times-and-news
WGA Global Marketing Group	wga-global-marketing-group
Nextlink	nextlink
Gambro	gambro
St. Jude Medical Endocardial Solutions, Inc.	st-jude-medical-endocardial-solutions-inc
Grand Central Communications	grand-central-communications
Zero G Software	zero-g-software
Click2Send,Inc.	click2send-inc
Kuwo.cn	kuwo-cn
Familian&1	familian
GrandMap	grandmap
Root Division	root-division
Major Metropolitan Newspapers and related organization	major-metropolitan-newspapers-and-related-organization
Faith Popcorn's BrainReserve	faith-popcorns-brainreserve
CFO On Call, LLC	cfo-on-call-llc
Disc Direct Computer Handels AG	disc-direct-computer-handels-ag
Sachs-Boge Australia Pty. Ltd.	sachs-boge-australia-pty-ltd
IBM Global Services Germany	ibm-global-services-germany
iClient Global LLC	iclient-global-llc
TopLine Strategies & Top IT Staff	topline-strategies-top-it-staff
Excell Agent Services, LLC	excell-agent-services-llc
MicroAge Teleservices Division	microage-teleservices-division
MicroAge Technology Services	microage-technology-services
Grant Houston, LLC	grant-houston-llc
ClearData Communications	cleardata-communications
WinStar Communication	winstar-communication
GoodNet	goodnet
CHS Business Associates LLC	chs-business-associates-llc
